model_id,boundary,backend,artifact_stage,status,reason,item_id,expectation,artifact_path,receipt_path,identity,evidence_origin,compiler_dispatch_allowed,runtime_artifact_available
regnet_x_1_6gf,b132,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo10_01/b132,unspecified,,,,,True,False
regnet_x_1_6gf,b132,tensorrt,part2,MISS,source_onnx_mismatch,orin_nx_hailo8_01/b132,unspecified,,,,,True,False
regnet_x_1_6gf,full,hailo8,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/d6dd6753cd8645e5bc431824c65502fe/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/hailo/hailo8/full/.hailo-generations/d6dd6753cd8645e5bc431824c65502fe/hailo_hef_build_receipt.json,04bd56468e92678116728c9217e01ecf4d6079441ce28afd77cdd4d89ca085dc,,False,True
regnet_x_1_6gf,full,hailo10h,full,HIT,existing_hailo_receipt_valid,full,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/075c23c5479e4eceb8ec37a2f1827140/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/regnet_x_1_6gf/benchmark_set/legacy_suite/hailo/hailo10/full/.hailo-generations/075c23c5479e4eceb8ec37a2f1827140/hailo_hef_build_receipt.json,59629dbf135a582ac59e6921e3619e8231a84de3b0109800f81d59f6e7bae8b0,,False,True
regnet_x_1_6gf,full,deepx,full,MISS,not_found,full,unspecified,,,deepx_m1_full_current_scale_only_v2_13e92138cda740f87083e921b56b8033,,True,False
regnet_x_1_6gf,full,tensorrt,full,HIT,compatible_receipt,orin_nx_deepx_m1_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/engine_build_receipt.json,a17c03cdf67ea4ea2109792ab71aa2bf980700a159a966972c05fcf90a374210,,False,True
regnet_x_1_6gf,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo10_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/engine_build_receipt.json,a66b7045e2d100144e23835dfce60771d0d34eaad4f7184a841e35186bf27936,,False,True
regnet_x_1_6gf,full,tensorrt,full,HIT,compatible_receipt,orin_nx_hailo8_01/full,unspecified,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/full_fp16.engine,/home/nx/splitpoint_runs/_onnx_splitpoint_cache/tensorrt_managed_v27516/regnet_x_1_6gf-aa35339d03c9ebf4/full/fba2c5b46ff63bd4b4bc65f1cf60fd86fa84e16e7432fcaa60d5efbd2c99b8f3/fp16/engine_build_receipt.json,8b5179e74b252339ebf4267c613a399b79b26a23c530b626b2a059adcf18f654,,False,True
yolo11l,b062,hailo8,part1,HIT,existing_hailo_receipt_valid,b062:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/b062/hailo/hailo8/part1/.hailo-generations/0b529b2b4c3747eb8c7d8b4e008a4df2/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/b062/hailo/hailo8/part1/.hailo-generations/0b529b2b4c3747eb8c7d8b4e008a4df2/hailo_hef_build_receipt.json,37d028309189ecfa331da1eff746c36aeb489a23bdef08aa734999a1b5ab0f46,,False,True
yolo11l,b062,hailo10h,part1,HIT,existing_hailo_receipt_valid,b062:part1,unspecified,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/b062/hailo/hailo10/part1/.hailo-generations/a9d071f84a5445cfabf968bcd6c9b2d7/compiled.hef,/home/kmika/Models/EvaluationRuns/complete_set_20260907_161614/models/yolo11l/benchmark_set/legacy_suite/b062/hailo/hailo10/part1/.hailo-generations/a9d071f84a5445cfabf968bcd6c9b2d7/hailo_hef_build_receipt.json,8e060eacd7ccdd77c072baea285b56c4ecc7b2f0eafd15effdbee07aeadb2656,,False,True
