backend,case_id,contract_comparison_conflicts,decomposition_source,full_onnx_AP50,full_onnx_AP75,full_onnx_COCO_AP_50_95,full_onnx_Top1,full_onnx_Top5,model,reference_identity,setup_id,split_AP50,split_AP75,split_COCO_AP_50_95,split_Top1,split_Top5,split_extra_loss_AP50,split_extra_loss_AP75,split_extra_loss_COCO_AP_50_95,split_extra_loss_Top1,split_extra_loss_Top5,status,task,total_split_loss_AP50,total_split_loss_AP75,total_split_loss_COCO_AP_50_95,total_split_loss_Top1,total_split_loss_Top5,vendor_full_AP50,vendor_full_AP75,vendor_full_COCO_AP_50_95,vendor_full_Top1,vendor_full_Top5,vendor_loss_AP50,vendor_loss_AP75,vendor_loss_COCO_AP_50_95,vendor_loss_Top1,vendor_loss_Top5
hailo10h,b054,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.804,0.942,,,,-0.008000000000000007,-0.006000000000000005,ok,classification,,,,-0.008000000000000007,-0.010000000000000009,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b056,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.806,0.946,,,,-0.006000000000000005,-0.0020000000000000018,ok,classification,,,,-0.006000000000000005,-0.006000000000000005,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b068,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.804,0.952,,,,-0.008000000000000007,0.0040000000000000036,ok,classification,,,,-0.008000000000000007,0.0,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b074,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.812,0.95,,,,0.0,0.0020000000000000018,ok,classification,,,,0.0,-0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b078,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.806,0.95,,,,-0.006000000000000005,0.0020000000000000018,ok,classification,,,,-0.006000000000000005,-0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b091,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.804,0.95,,,,-0.008000000000000007,0.0020000000000000018,ok,classification,,,,-0.008000000000000007,-0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b095,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.81,0.948,,,,-0.0020000000000000018,0.0,ok,classification,,,,-0.0020000000000000018,-0.0040000000000000036,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b107,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.814,0.954,,,,0.0019999999999998908,0.006000000000000005,ok,classification,,,,0.0019999999999998908,0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b112,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.814,0.95,,,,0.0019999999999998908,0.0020000000000000018,ok,classification,,,,0.0019999999999998908,-0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b118,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.812,0.954,,,,0.0,0.006000000000000005,ok,classification,,,,0.0,0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo10h,b119,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo10_01,,,,0.816,0.954,,,,0.0039999999999998925,0.006000000000000005,ok,classification,,,,0.0039999999999998925,0.0020000000000000018,,,,0.812,0.948,,,,0.0,-0.0040000000000000036
hailo8,b001,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.8,0.948,,,,-0.010000000000000009,-0.0020000000000000018,ok,classification,,,,-0.01200000000000001,-0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b003,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.802,0.952,,,,-0.008000000000000007,0.0020000000000000018,ok,classification,,,,-0.010000000000000009,0.0,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b008,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.812,0.948,,,,0.0020000000000000018,-0.0020000000000000018,ok,classification,,,,0.0,-0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b009,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.812,0.946,,,,0.0020000000000000018,-0.0040000000000000036,ok,classification,,,,0.0,-0.006000000000000005,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b020,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.81,0.946,,,,0.0,-0.0040000000000000036,ok,classification,,,,-0.0020000000000000018,-0.006000000000000005,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b022,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.818,0.948,,,,0.007999999999999896,-0.0020000000000000018,ok,classification,,,,0.005999999999999894,-0.0040000000000000036,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b027,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.808,0.942,,,,-0.0020000000000000018,-0.008000000000000007,ok,classification,,,,-0.0040000000000000036,-0.010000000000000009,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
hailo8,b042,[],paired_central_quality_results,,,,0.812,0.952,resnet50,0cdcb06d3774e2a7dd319ff1edbffe5b49432a8b7c8302ecc9ffaceea81a1ea1,orin_nx_hailo8_01,,,,0.806,0.942,,,,-0.0040000000000000036,-0.008000000000000007,ok,classification,,,,-0.006000000000000005,-0.010000000000000009,,,,0.81,0.95,,,,-0.0020000000000000018,-0.0020000000000000018
