manual_relative_path	family	classification	selected	run_dirs	valid_runs	valid_parquets	valid_parquet_bytes	small_or_bad_parquets	positive_summary_files	explicit_failure_files	copied_files	copied_bytes	reason
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260707_195023	-	REVIEW_VALID_UNCURATED	False	3	3	3	2138655	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260708_232832	-	REVIEW_VALID_UNCURATED	False	3	3	3	2138495	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260709_123743	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120683	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260710_010412	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120499	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260710_160754	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120423	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260711_004346	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120487	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full/20260717_075939	-	REVIEW_VALID_UNCURATED	False	3	3	3	2120559	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full_orin_nx_deepx_m1_01/20260717_212434	-	REVIEW_VALID_UNCURATED	False	1	1	1	706801	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_deepx_yolo26s_full_orin_nx_deepx_m1_01/20260718_071439	-	REVIEW_VALID_UNCURATED	False	1	1	1	724757	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_tensorrt__resnet50__full__orin_nx_deepx_m1_01__538ded69ce6f/20260719_194221	resnet50_tensorrt_full	AUTO_INCLUDE_BEST_KNOWN_FAMILY	True	3	3	3	10673762	0	5	0	76	11255119	3 run(s) with nontrivial Parquet and positive energy; highest-scoring complete package for family
orin_nx_deepx_m1_01/native_native_full_tensorrt__resnet50__full__orin_nx_deepx_m1_01__9b70b050a406/20260719_141533	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	10671162	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_tensorrt__resnet50__full__orin_nx_deepx_m1_01__b4c647c6c32b/20260719_165555	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	10673702	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_tensorrt_resnet50_full/20260717_081415	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	3	3	3	2118443	0	5	0	0	0	3 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_tensorrt_resnet50_full_orin_nx_deepx_m1_01/20260717_212200	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	742133	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_tensorrt_resnet50_full_orin_nx_deepx_m1_01/20260718_071206	resnet50_tensorrt_full	SUPERSEDED_VALID_KNOWN_FAMILY	False	1	1	1	742109	0	3	0	0	0	1 run(s) with nontrivial Parquet and positive energy; a stronger package of the same family was selected
orin_nx_deepx_m1_01/native_native_full_tensorrt_yolo26s_full/20260717_082132	-	REVIEW_VALID_UNCURATED	False	3	3	3	2118451	0	5	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_tensorrt_yolo26s_full_orin_nx_deepx_m1_01/20260717_212547	-	REVIEW_VALID_UNCURATED	False	1	1	1	741659	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
orin_nx_deepx_m1_01/native_native_full_tensorrt_yolo26s_full_orin_nx_deepx_m1_01/20260718_071552	-	REVIEW_VALID_UNCURATED	False	1	1	1	738907	0	3	0	0	0	valid measurement evidence, but not one of the five preselected families
